Currency Pair,Start Date,End Date,Duration,Exposure Time %,Final Equity $,Peak Equity $,Return %,Buy & Hold Return %,Annual Return %,Annual Volatility %,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown %,Avg. Drawdown %,Max. Drawdown Duration,Avg. Drawdown Duration,Number of Trades,Win Rate %,Best Trade %,Worst Trade %,Avg. Trade %,Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy $,SQN,Optimal Length,Optimal Scalar
AUDUSD=X,2021-12-03 00:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 22:00:00,99.14667525358234,6704.746371083994,10347.75337878201,-32.952536289160065,-4.0281338264880935,-29.17842299639203,9.435714424552744,0.0,0.0,0.0,-36.80302884326368,-2.864390577800058,266 days 23:00:00,22 days 13:00:00,197,27.918781725888326,3.5593703047088088,-3.141576621489506,-0.2027319817422879,11 days 21:00:00,1 days 20:00:00,0.6106165741444984,-0.1982816620749859,-2.989915847088854,35,100
EURAUD=X,2021-12-03 00:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 22:00:00,99.13057478666882,7064.158902839068,10000.0,-29.358410971609317,-2.8856374080190426,-25.913835917684867,7.84399380655965,0.0,0.0,0.0,-32.53514235544706,-32.53514235544706,360 days 16:00:00,360 days 16:00:00,186,27.956989247311824,1.9222414158980294,-3.4541535449762018,-0.18669827614831158,12 days 12:00:00,1 days 23:00:00,0.554922967589258,-0.1839458655216343,-3.418559042104037,27,90
EURCAD=X,2021-12-03 00:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 22:00:00,99.74239252938335,6853.75556138646,10068.518180713285,-31.462444386135402,-2.100771788815623,-28.098164289985327,6.826459476687373,0.0,0.0,0.0,-31.92885548426433,-11.749510343655324,326 days 15:00:00,121 days 09:00:00,180,25.555555555555554,2.038181519911908,-2.1091712314693867,-0.20967945753013195,10 days 16:00:00,2 days 01:00:00,0.49201992442280396,-0.20742768666606176,-4.0063044297184796,30,100
EURCHF=X,2021-12-03 00:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 22:00:00,99.74235104669887,6694.4958754420995,10032.464169257262,-33.055041245579005,-5.096511798421603,-29.085893649650828,6.383365713872083,0.0,0.0,0.0,-33.81872017685995,-11.707832647965729,350 days 00:00:00,121 days 09:00:00,196,26.02040816326531,2.500073347412668,-1.8825494994395342,-0.20454663448551402,11 days 01:00:00,1 days 21:00:00,0.44268198437436945,-0.2028276473883829,-4.858608594731787,67,100
EURGBP=X,2021-12-03 00:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 22:00:00,98.68018670529534,7498.082144994703,10000.0,-25.019178550052967,0.8552915669808229,-22.002567950489237,6.243037150913317,0.0,0.0,0.0,-25.335812528768397,-25.335812528768397,359 days 12:00:00,359 days 12:00:00,174,31.60919540229885,2.1349020528174,-1.4873132477297935,-0.1653494165728353,13 days 23:00:00,2 days 02:00:00,0.5273992805264385,-0.1636070648076379,-3.7889513425215426,51,90
EURJPY=X,2021-12-03 00:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 22:00:00,99.6779388083736,6524.929675909489,10077.001625231936,-34.75070324090511,10.672218724188074,-30.799825963862148,7.88728590845678,0.0,0.0,0.0,-36.73611580713732,-6.233728232846001,360 days 10:00:00,60 days 16:00:00,180,28.333333333333332,2.5137821879173794,-2.5468029066343156,-0.23892890022654267,13 days 22:00:00,2 days 01:00:00,0.5373999254730614,-0.23494790186196152,-3.6507151929558046,44,100
EURNZD=X,2021-12-03 00:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 22:00:00,99.72624798711756,8191.880316349667,10272.20184441767,-18.08119683650333,-1.1978232531346784,-15.568452252082643,8.44640618077051,0.0,0.0,0.0,-21.87609295838585,-1.5007088624934606,346 days 08:00:00,21 days 10:00:00,164,31.70731707317073,2.187086473281852,-3.261560336712932,-0.12154393953913711,13 days 19:00:00,2 days 06:00:00,0.704216680929644,-0.11845202465918012,-2.0235655682338733,32,100
GBPCHF=X,2021-12-03 00:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 22:00:00,99.35577387663069,6511.793131189391,10137.763207825854,-34.882068688106095,-5.87908296049361,-30.94087654535943,6.705430028807563,0.0,0.0,0.0,-35.82515847318236,-3.2657217888775047,347 days 14:00:00,30 days 02:00:00,168,26.785714285714285,2.918604284674964,-3.82155863971817,-0.25503039683513196,13 days 09:00:00,2 days 04:00:00,0.4523883283996227,-0.251826883785009,-4.32141768070347,65,110
GBPJPY=X,2021-12-03 00:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 22:00:00,99.74235104669887,6767.425506176839,10109.549329785157,-32.32574493823161,9.74783964381075,-28.30297981197224,8.551842424815543,0.0,0.0,0.0,-37.39267864997817,-3.6178529381398623,358 days 10:00:00,33 days 03:00:00,195,25.64102564102564,3.717731216497777,-2.542847743134624,-0.20217564393248955,12 days 10:00:00,1 days 21:00:00,0.5771648773823164,-0.19821477517731156,-3.6588896070063712,70,100
GBPUSD=X,2021-12-03 00:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 22:00:00,98.64712514092446,6215.835100268327,10059.478964200212,-37.84164899731673,-7.506822350066343,-33.6582037143006,7.848720763535533,0.0,0.0,0.0,-39.54417893953405,-6.831965694449331,352 days 06:00:00,59 days 22:00:00,169,26.035502958579883,3.160587776838386,-2.5976604989531027,-0.2809791343070245,11 days 21:00:00,2 days 04:00:00,0.4557122591617131,-0.2774858808948607,-4.696895320229647,68,110
