Currency Pair,Start Date,End Date,Duration,Exposure Time %,Final Equity $,Peak Equity $,Return %,Buy & Hold Return %,Annual Return %,Annual Volatility %,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown %,Avg. Drawdown %,Max. Drawdown Duration,Avg. Drawdown Duration,Number of Trades,Win Rate %,Best Trade %,Worst Trade %,Avg. Trade %,Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy $,SQN,Optimal Short,Optimal Long
AUDUSD=X,2021-12-03 00:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 22:00:00,97.32732249235228,7145.11478018673,10024.82782230549,-28.5488521981327,-4.0281338264880935,-25.18168069055562,9.589764395874239,0.0,0.0,0.0,-28.99363496646432,-14.507935407198563,353 days 19:00:00,176 days 23:00:00,72,27.77777777777778,3.4421947701570144,-3.365061430496419,-0.46582012230460546,17 days 22:00:00,4 days 22:00:00,0.40592688263600923,-0.45835250742160516,-3.2425093838563184,30,180
EURAUD=X,2021-12-03 00:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 22:00:00,97.26292062469811,7213.323566272297,10000.0,-27.86676433727703,-2.8856374080190426,-24.565690615778845,7.520869979092559,0.0,0.0,0.0,-28.005889381622882,-28.005889381622882,353 days 19:00:00,353 days 19:00:00,83,16.867469879518072,5.9147814817947175,-1.8041138619602881,-0.39283233781677307,28 days 07:00:00,4 days 07:00:00,0.3844875334233515,-0.3864551994063498,-3.121767463493687,40,190
EURCAD=X,2021-12-03 00:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 22:00:00,98.01964256963453,9335.096654544366,10171.50806096382,-6.6490334545563385,-2.100771788815623,-5.765022452176217,7.47849660376485,0.0,0.0,0.0,-11.495463882294843,-1.3922165395731279,347 days 07:00:00,35 days 18:00:00,69,28.985507246376812,3.0816034854595054,-1.1591892206806564,-0.09967198551711354,17 days 21:00:00,5 days 05:00:00,0.7456649792279507,-0.09618096145109875,-1.0030628622520172,40,105
EURCHF=X,2021-12-03 00:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 22:00:00,97.76167471819646,8764.169522830809,10097.75258830673,-12.358304771691909,-5.096511798421603,-10.760195701496688,6.515862964385609,0.0,0.0,0.0,-13.878671814817146,-1.6121964883930524,248 days 10:00:00,27 days 11:00:00,70,32.857142857142854,2.02865000705742,-2.564793642890728,-0.18827536961824043,14 days 18:00:00,5 days 03:00:00,0.5485964460043404,-0.1853652265086606,-2.02754266743093,20,135
EURGBP=X,2021-12-03 00:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 22:00:00,97.65008852406245,8714.91334167417,10041.104932293227,-12.850866583258302,0.8552915669808229,-11.193201558414856,6.882584363964842,0.0,0.0,0.0,-13.530212033282362,-2.172176290450023,325 days 12:00:00,44 days 08:00:00,69,31.88405797101449,1.5093308486373247,-2.413072676968153,-0.1991572175937817,22 days 03:00:00,5 days 04:00:00,0.5068570070823011,-0.19673395603804758,-2.3920567988099704,40,110
EURJPY=X,2021-12-03 00:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 22:00:00,97.8743961352657,9650.456419140639,10646.97382518312,-3.4954358085936112,10.672218724188074,-3.0239286547673716,10.470399743896564,0.0,0.0,0.0,-11.574512132465365,-1.6980439998049102,161 days 16:00:00,16 days 23:00:00,63,31.746031746031743,5.561560230773854,-1.9250911041399976,-0.05594485513749081,22 days 08:00:00,5 days 17:00:00,0.9175429750745898,-0.046473575010620036,-0.31960317301165975,10,170
EURNZD=X,2021-12-03 00:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 22:00:00,97.56843800322062,7945.27136968253,10049.040953401947,-20.547286303174698,-1.1978232531346784,-18.0040371528276,7.757840675917247,0.0,0.0,0.0,-22.104030393215414,-4.587423287756196,353 days 09:00:00,70 days 22:00:00,86,27.906976744186046,5.0504791308951695,-1.773682292301637,-0.2671236981226066,20 days 22:00:00,4 days 03:00:00,0.48153108584960874,-0.26244470519598706,-2.5249496745782807,45,195
GBPCHF=X,2021-12-03 00:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 22:00:00,97.51972942502819,8730.96220770294,10147.781328227422,-12.690377922970603,-5.87908296049361,-11.05208095082364,8.121290395467229,0.0,0.0,0.0,-16.11760929864018,-2.0189308927164342,312 days 05:00:00,35 days 10:00:00,65,23.076923076923077,4.102737694725612,-2.787775663783054,-0.2085819079134521,23 days 23:00:00,5 days 11:00:00,0.5957352257476352,-0.20321771943658243,-1.6368492384366249,40,180
GBPJPY=X,2021-12-03 00:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 22:00:00,98.30917874396135,10756.759476818868,11205.522166662615,7.567594768188683,9.74783964381075,6.4980196578282134,11.997314192417475,0.5416228627183143,0.8926252394568203,0.5979841538953996,-10.866541555488872,-1.3238674731781241,144 days 13:00:00,9 days 04:00:00,59,42.3728813559322,5.1748656084453675,-1.7731530717059352,0.12457655557178704,20 days 04:00:00,6 days 02:00:00,1.2855085547602307,0.1355458401595984,0.6509241542751956,40,90
GBPUSD=X,2021-12-03 00:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 22:00:00,97.64857464970204,8892.235813244373,10000.0,-11.077641867556268,-7.506822350066343,-9.635932835072037,10.737654255443438,0.0,0.0,0.0,-13.160808832057757,-13.160808832057757,354 days 19:00:00,354 days 19:00:00,69,34.78260869565217,5.507530752791034,-3.259172754193096,-0.17001934934136598,15 days 04:00:00,5 days 04:00:00,0.7116910690110128,-0.16205387388488668,-1.1419716260681823,35,190
USDCAD=X,2021-12-03 00:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 22:00:00,97.92370835345244,6695.104041136212,10130.330093008233,-33.048959588637885,5.041486534657755,-29.266330453450596,6.1781260461208385,0.0,0.0,0.0,-33.9612955463222,-2.931157638059995,352 days 06:00:00,29 days 19:00:00,86,17.441860465116278,3.795480671006679,-1.9678020055771017,-0.4654709396475498,15 days 14:00:00,4 days 04:00:00,0.23303526940173597,-0.4623942005917903,-5.500772138004058,25,190
USDCHF=X,2021-12-03 00:00:00+00:00,2022-12-02 21:00:00+00:00,364 days 21:00:00,97.87751134154244,9953.439365533122,10557.437568389378,-0.4656063446687767,1.7879644020262109,-0.4019530255912396,8.759123205416364,0.0,0.0,0.0,-13.171093458758754,-1.0587710919387072,243 days 02:00:00,10 days 12:00:00,62,29.03225806451613,6.1129754213253396,-1.4778386255247522,-0.007532882689909037,33 days 18:00:00,5 days 19:00:00,1.0018593418910389,0.0008331376052695567,-0.0480179489822415,35,105
USDCNY=X,2021-12-03 01:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 21:00:00,97.89656503280587,8606.203325272776,10000.0,-13.93796674727224,10.122694039505411,-12.982847656396645,5.3678372275925685,0.0,0.0,0.0,-16.45134745974707,-16.45134745974707,357 days 03:00:00,357 days 03:00:00,68,16.176470588235293,3.575723624666005,-2.0438200593926092,-0.2205916888491921,24 days 05:00:00,5 days 07:00:00,0.4307175719237916,-0.21784538867361453,-2.489848584355868,45,150
USDHKD=X,2021-12-03 00:00:00+00:00,2022-12-02 22:00:00+00:00,364 days 22:00:00,98.29417444480207,8179.495830956678,10000.0,-18.20504169043322,-0.034657367582295186,-15.922109939780205,1.9816203725254642,0.0,0.0,0.0,-18.44652429636736,-18.44652429636736,358 days 12:00:00,358 days 12:00:00,85,2.3529411764705883,0.14077456318061232,-0.3552624397564097,-0.23624017589610746,17 days 19:00:00,4 days 06:00:00,0.008552179781627712,-0.2362182742662564,-32.50776511600311,45,190
USDJPY=X,2021-12-03 00:00:00+00:00,2022-12-02 21:00:00+00:00,364 days 21:00:00,97.97669148591778,9572.976748315446,10569.325208154305,-4.270232516845535,18.736235654630157,-3.6962264279522095,10.145237897468368,0.0,0.0,0.0,-13.077957071334346,-1.504398304957101,169 days 06:00:00,14 days 21:00:00,65,29.230769230769234,5.085013152431683,-1.816915666183938,-0.0674310791199173,21 days 22:00:00,5 days 13:00:00,0.9009214608041065,-0.05621255714743068,-0.36345482959481645,20,185
